"","time","actor1","actor2"
"154",6152.5,"X8TH.STREET","VNE"
"155",6167.5,"STATE.ST","TINY.BOYS"
"156",6185.25,"LOCKE","LOWELL"
"157",6195.66666666667,"KAM","VICKY.S.TOWN"
"158",6248.83333333333,"LOCKE","HAPPY.VALLEY"
"159",6263.75,"INDIANA.DUKES","VNE"
"160",6266.75,"EASTLAKE","CLOVER"
"161",6293.25,"VICKY.S.TOWN","KAM"
"162",6297.66666666667,"STATE.ST","TINY.BOYS"
"163",6314.5,"EASTLAKE","CLOVER"
"164",6318.75,"X18TH.STREET","ROSE.HILLS"
"165",6459.75,"MC.FORCE","TINY.DUKES"
"167",6488.08333333333,"OPAL.ST","VNE"
"168",6488.16666666667,"OPAL.ST","VNE"
"169",6492,"TINY.DUKES","EVERGREEN"
"170",6496.25,"VICKY.S.TOWN","KAM"
"171",6507.08333333333,"TINY.DUKES","MC.FORCE"
"172",6507.25,"WHITE.FENCE","OPAL.ST"
"173",6527.58333333333,"HAZARD","METRO.13"
"174",6531.83333333333,"STATE.ST","KAM"
"175",6533.25,"VNE","OPAL.ST"
"176",6574,"TMC","CUATRO.FLATS"
"177",6574.5,"LOCKE","LOWELL"
"178",6579,"BREED.ST","TINY.BOYS"
"179",6579.91666666667,"LOCKE","LOWELL"
"180",6580.83333333333,"LOCKE","KAM"
"181",6600.66666666667,"VNE","OPAL.ST"
"182",6601.83333333333,"VICKY.S.TOWN","KAM"
"183",6677.08333333333,"STATE.ST","TINY.BOYS"
"184",6697.5,"MC.FORCE","TINY.DUKES"
"185",6721.5,"SENTINEL.BOYS","KAM"
"186",6807.16666666667,"STATE.ST","KAM"
"187",6810.16666666667,"CLARENCE.ST","PRIMERA.FLATS"
"190",6954,"TINY.DUKES","MC.FORCE"
"191",6955,"TINY.DUKES","MC.FORCE"
"192",6963.25,"STATE.ST","KAM"
"193",6963.5,"STATE.ST","KAM"
"194",7056.5,"CLOVER","EASTLAKE"
"195",7057,"EASTLAKE","CLOVER"
"196",7082,"X18TH.STREET","ROSE.HILLS"
"197",7130.91666666667,"TINY.BOYS","STATE.ST"
"198",7160,"TINY.BOYS","STATE.ST"
"199",7179,"VNE","OPAL.ST"
"200",7249.33333333333,"LOCKE","LOWELL"
"201",7298,"TINY.BOYS","STATE.ST"
"202",7387.41666666667,"KAM","SENTINEL.BOYS"
"203",7389.5,"CUATRO.FLATS","TMC"
"204",7467.5,"LOCKE","LOWELL"
"205",7496.5,"VICKY.S.TOWN","HAZARD"
"206",7726,"EVERGREEN","LINCOLN.HEIGHTS"
"207",7808.25,"VNE","WHITE.FENCE"
"208",7846.83333333333,"CUATRO.FLATS","TMC"
"209",7937.5,"STATE.ST","TINY.BOYS"
"210",8158,"TINY.BOYS","STATE.ST"
"213",8278.83333333333,"TINY.DUKES","BREED.ST"
"214",8329.16666666667,"TMC","CUATRO.FLATS"
"215",8336,"CLOVER","TMC"
"216",8587.33333333333,"PRIMERA.FLATS","STATE.ST"
"217",8588.5,"STATE.ST","PRIMERA.FLATS"
"218",8660.25,"WHITE.FENCE","MC.FORCE"
"219",8665.25,"CUATRO.FLATS","TINY.DUKES"
